Filename,BRISQUE Score
diastole1285.png,-10.47
diastole1284.png,-5.16
diastole1287.png,-4.72
diastole1289.png,11.3
diastole1288.png,0.9
diastole129.png,10.9
diastole1290.png,1.12
diastole1291.png,4.16
diastole1292.png,-3.86
diastole1293.png,4.75
diastole1294.png,31.27
diastole1296.png,-5.21
diastole1295.png,14.28
diastole1297.png,7.98
diastole1298.png,18.63
diastole1299.png,-11.54
diastole13.png,-2.02
diastole130.png,-22.48
diastole1300.png,28.99
diastole1301.png,-8.16
diastole1302.png,5.74
diastole1303.png,9.6
diastole1304.png,8.94
diastole1305.png,13.06
diastole1306.png,21.81
diastole1307.png,-3.19
diastole1308.png,6.71
diastole1309.png,26.89
diastole131.png,-1.88
diastole1310.png,0.53
diastole1311.png,7.08
diastole1312.png,7.09
diastole1313.png,0.39
diastole1314.png,-3.86
diastole1315.png,4.53
diastole1316.png,1.37
diastole1317.png,14.93
diastole1318.png,14.97
diastole1319.png,2.27
diastole132.png,6.85
diastole1320.png,-12.9
diastole1321.png,-4.13
diastole1323.png,-7.94
diastole1324.png,1.76
diastole1322.png,23.74
diastole1325.png,18.77
diastole1326.png,19.57
diastole1327.png,-10.61
diastole1328.png,-1.3
diastole1329.png,22.58
diastole133.png,15.89
diastole1330.png,4.28
diastole1331.png,19.72
diastole1332.png,-5.24
diastole1333.png,1.23
diastole1334.png,18.18
diastole1336.png,11.53
diastole1335.png,11.69
diastole1337.png,-3.58
diastole1338.png,5.07
diastole1339.png,-11.58
diastole134.png,4.82
diastole1340.png,-4.14
diastole1341.png,1.39
diastole1342.png,4.41
diastole1343.png,-1.2
diastole1344.png,10.95
diastole1345.png,2.33
diastole1346.png,9.39
diastole1347.png,13.26
diastole1348.png,10.07
diastole1349.png,22.25
diastole1351.png,9.59
diastole135.png,17.39
diastole1352.png,-23.72
diastole1350.png,33.18
diastole1354.png,-9.8
diastole1353.png,2.34
diastole1356.png,23.17
diastole1355.png,11.55
diastole1357.png,18.54
diastole1358.png,-1.77
diastole1359.png,15.67
diastole136.png,8.42
diastole1360.png,10.44
diastole1361.png,7.97
diastole1362.png,12.97
diastole1364.png,4.35
diastole1363.png,19.18
diastole1365.png,3.13
diastole1366.png,2.83
diastole1368.png,31.64
diastole1367.png,-24.29
diastole1369.png,3.47
diastole137.png,17.74
diastole1370.png,3.05
diastole1371.png,20.57
diastole1373.png,8.78
diastole1372.png,2.05
diastole1374.png,1.55
diastole1375.png,-10.73
diastole1376.png,7.61
diastole1377.png,0.93
diastole1378.png,7.12
diastole1379.png,1.69
diastole138.png,22.61
diastole1380.png,-2.22
diastole1381.png,9.89
diastole1382.png,10.25
diastole1383.png,17.54
diastole1384.png,18.05
diastole1385.png,2.59
diastole1387.png,-4.24
diastole1386.png,6.2
diastole1389.png,9.46
diastole1388.png,-0.64
diastole139.png,7.12
diastole1391.png,-0.3
diastole1390.png,6.07
diastole1392.png,19.2
diastole1393.png,6.8
diastole1394.png,-11.62
diastole1395.png,-2.84
diastole1396.png,14.09
diastole1397.png,5.81
diastole1398.png,0.25
diastole14.png,16.54
diastole1399.png,-7.04
diastole140.png,-2.61
diastole1401.png,2.54
diastole1400.png,23.11
diastole1402.png,16.45
diastole1403.png,15.12
diastole1404.png,4.33
diastole1405.png,0.75
diastole1407.png,10.3
diastole1406.png,13.33
diastole1408.png,22.62
diastole1409.png,10.63
diastole141.png,11.46
diastole1410.png,12.88
diastole1411.png,5.49
diastole1412.png,4.67
diastole1413.png,15.92
diastole1414.png,-18.67
diastole1415.png,0.89
diastole1416.png,14.31
diastole1418.png,-2.38
diastole1417.png,-0.45
diastole1419.png,8.24
diastole142.png,3.63
diastole1420.png,13.12
diastole1421.png,5.72
diastole1422.png,9.93
diastole1423.png,4.43
diastole1424.png,10.03
diastole1426.png,36.57
diastole1425.png,10.95
diastole1427.png,-4.81
diastole1428.png,9.94
diastole1429.png,18.72
diastole143.png,6.8
diastole1430.png,1.37
